State2,donate,age,educated,rep,dem,black,hisp,male,married,children,church,unionmem,income
1,0,58,3,0,0,0,0,0,0,0,0,1,0
1,0,47,4,0,0,0,0,1,0,0,5,1,-2
1,0,26,3,0,0,0,0,0,0,1,3,0,-2
1,0,23,5,0,0,0,0,1,0,0,1,0,-1
1,0,58,5,0,0,0,0,1,0,0,5,0,2
1,0,42,2,0,0,0,0,1,0,0,2,0,-1
1,0,62,3,1,0,0,0,1,0,0,3,0,-1
1,0,37,4,0,1,1,0,0,0,1,2,1,-2
1,0,54,1,0,1,0,0,1,0,0,5,1,-1
1,1,62,4,0,1,1,0,1,0,0,2,0,2
1,1,77,5,0,1,0,0,0,0,0,4,0,-1
1,0,39,5,1,0,0,0,1,0,0,4,0,0
1,0,54,3,0,1,1,0,0,0,1,4,0,0
1,0,33,2,0,0,0,0,0,0,2,3,0,-2
1,0,57,5,0,0,0,0,1,0,0,1,0,2
1,1,77,5,1,0,0,0,1,0,0,4,0,-1
1,0,64,3,1,0,0,0,0,1,0,3,0,2
1,0,27,2,0,0,0,0,1,0,0,0,0,-2
1,0,55,2,0,1,0,0,1,0,0,1,0,-2
1,1,53,2,0,1,0,0,1,0,0,1,1,2
1,0,70,5,0,1,0,0,1,0,0,0,1,2
1,0,72,1,1,0,0,0,1,0,0,4,0,-1
1,0,67,3,0,1,0,0,1,0,0,1,0,2
1,0,56,2,1,0,0,0,0,0,0,5,0,1
1,1,63,4,1,0,0,0,0,0,0,2,1,0
1,1,61,3,0,0,0,0,0,0,0,1,0,2
1,0,29,2,0,1,0,0,0,1,0,1,0,0
1,0,54,5,1,0,0,0,0,0,1,4,0,1
1,0,72,3,1,0,0,0,1,0,0,5,1,2
1,0,51,2,0,1,0,0,1,0,0,1,0,-1
1,0,40,4,0,0,0,0,0,1,1,4,0,0
1,1,77,2,1,0,0,0,0,0,0,4,0,-2
1,0,52,4,0,1,1,0,0,0,0,2,1,0
1,0,56,5,0,0,1,0,0,0,0,2,0,2
1,1,70,3,0,0,0,0,1,0,0,2,1,0
1,0,33,5,1,0,0,0,0,1,2,3,0,2
1,0,61,2,0,1,0,0,0,0,0,3,0,-1
1,0,45,3,0,0,0,0,1,0,0,0,0,-1
1,0,51,2,1,0,0,0,0,1,0,5,0,-1
1,0,41,2,0,1,0,0,0,0,0,4,0,-2
1,1,59,6,0,0,1,0,1,0,0,3,0,1
1,1,52,3,1,0,0,0,1,0,0,4,1,0
1,1,26,6,0,1,1,0,0,0,0,2,0,1
1,0,36,2,0,0,0,0,0,0,3,0,0,-2
1,0,49,2,0,0,0,0,0,0,0,0,0,-1
1,1,78,3,1,0,0,0,0,0,0,1,0,2
1,1,56,3,1,0,0,0,1,0,1,4,1,0
1,0,36,5,0,1,1,0,0,0,0,1,0,1
1,0,25,2,0,0,0,0,0,1,0,0,0,-1
1,0,42,5,0,0,0,0,0,0,0,0,0,0
1,1,26,6,0,1,1,0,0,0,0,2,0,1
1,0,52,2,1,0,0,0,1,0,0,2,1,1
1,0,75,6,1,0,0,0,1,0,0,5,0,2
1,0,38,4,0,0,0,0,0,0,1,5,0,1
1,0,19,1,0,0,0,0,0,0,0,1,0,-2
1,1,56,3,0,1,0,0,1,0,0,0,1,-1
1,1,29,3,0,1,0,0,1,0,0,0,0,2
1,0,71,3,1,0,0,0,0,0,0,0,0,2
1,0,62,3,1,0,0,0,0,0,0,4,1,-1
1,0,27,3,0,1,1,0,0,1,1,2,0,-1
1,0,58,4,1,0,0,0,1,0,0,4,1,1
1,0,67,2,0,0,0,0,0,0,0,2,0,-1
1,0,46,6,1,0,0,1,1,0,0,1,0,2
1,1,26,6,1,0,0,0,0,0,0,5,0,1
1,0,42,1,0,1,1,0,0,0,0,4,0,-2
1,0,42,2,1,0,0,0,0,0,1,3,0,-1
1,0,33,6,0,1,1,0,0,0,1,2,1,0
1,0,37,2,1,0,0,0,1,0,3,2,1,1
1,0,49,2,0,0,1,0,1,1,0,1,0,-1
1,1,50,3,1,0,0,0,1,0,0,5,0,2
1,0,59,2,1,0,0,0,1,0,0,1,0,0
1,0,38,4,0,1,1,0,0,0,0,3,0,0
1,0,19,3,1,0,0,0,0,0,0,3,0,2
1,0,57,1,0,0,1,0,0,0,0,0,0,-2
1,0,26,4,0,1,0,0,0,0,2,3,0,-1
1,0,27,4,0,1,0,0,0,0,2,0,0,1
1,0,66,2,0,1,0,0,0,0,0,1,0,-1
1,0,29,5,0,0,0,1,0,1,2,1,0,1
1,0,71,2,1,0,0,0,0,0,0,2,0,1
1,0,75,2,0,0,0,0,0,0,0,5,0,-1
1,0,24,3,1,0,0,0,0,1,0,1,0,-1
1,1,29,3,0,0,0,0,0,0,1,0,0,-1
1,1,66,2,1,0,0,0,0,0,0,4,0,2
1,0,38,2,0,0,1,0,0,0,1,2,0,-2
1,0,50,3,1,0,0,0,0,0,0,1,1,-1
1,0,66,2,0,0,0,0,0,0,0,0,0,0
1,0,34,3,0,0,0,0,0,0,0,0,0,1
1,0,64,6,0,0,0,0,1,0,0,4,1,1
1,1,57,1,0,1,0,0,0,0,2,0,0,1
1,0,63,2,1,0,0,0,1,0,0,1,0,1
1,0,25,3,0,0,0,0,0,0,3,2,0,-1
1,1,57,3,0,1,1,0,0,0,1,5,0,-1
1,1,80,3,0,0,0,0,0,0,0,5,1,-2
1,0,64,2,1,0,0,0,0,0,0,5,0,-1
1,1,61,6,0,1,0,0,0,0,0,3,1,2
1,0,56,6,0,1,1,0,1,0,0,1,0,2
1,0,62,5,0,0,0,0,1,0,0,4,1,1
1,0,59,6,1,0,0,0,1,0,0,5,1,-1
1,1,58,5,0,0,0,0,0,0,0,5,1,2
1,0,59,5,0,1,1,0,0,0,0,1,0,0
1,0,49,5,1,0,0,0,1,0,0,5,0,2
1,0,26,6,0,1,1,0,0,0,0,1,0,-2
1,0,56,6,0,1,1,0,1,0,0,1,0,2
1,0,61,3,0,1,1,0,0,0,1,5,0,-1
1,0,49,3,1,0,0,0,0,0,0,0,0,-1
1,0,61,4,1,0,0,0,1,0,0,4,0,-1
1,0,21,4,0,0,1,0,0,0,0,5,0,-2
1,0,43,2,1,0,0,0,1,0,1,5,0,1
1,0,55,1,0,1,1,0,1,0,2,4,0,-1
1,0,62,2,0,0,0,0,1,0,0,0,0,-1
1,0,82,3,0,0,0,0,1,0,0,4,0,-1
1,0,56,3,1,0,0,0,1,0,1,2,1,2
1,1,72,6,1,0,0,0,1,0,0,2,0,-1
1,0,49,5,1,0,0,0,0,0,2,1,0,-1
1,0,36,2,0,0,0,0,0,1,3,1,0,-2
1,0,30,3,1,0,0,0,0,0,2,4,0,0
1,0,42,3,1,0,0,0,0,0,1,5,0,1
1,1,60,6,0,1,0,0,1,1,0,5,0,2
1,1,54,5,0,0,0,0,1,0,0,4,0,2
1,0,41,3,0,0,0,0,0,0,1,1,0,-1
1,0,58,3,0,1,0,0,1,0,0,4,1,1
1,0,65,3,1,0,0,0,1,0,0,1,0,1
1,0,68,4,1,0,0,0,0,0,0,1,0,-1
1,0,70,2,0,1,0,0,0,0,0,1,0,0
1,0,52,2,0,0,0,0,1,0,0,2,0,-2
1,1,58,6,0,0,0,0,1,0,0,4,1,2
1,0,53,3,1,0,0,0,1,0,3,1,0,1
1,0,63,5,1,0,0,0,0,0,0,5,0,-1
1,0,19,2,0,0,1,0,0,0,0,0,0,-2
1,1,56,6,0,1,1,0,1,0,0,3,1,0
1,0,52,4,1,0,1,0,0,0,2,4,0,1
1,0,62,3,0,0,0,0,1,0,0,3,1,2
1,1,61,5,0,1,1,0,1,0,0,3,1,1
1,0,30,2,0,1,0,1,0,1,3,5,0,-1
1,0,56,6,1,0,0,0,1,0,0,2,1,1
1,0,71,5,0,0,0,0,1,0,0,0,0,2
1,0,32,6,0,1,1,0,0,0,2,3,1,1
1,0,56,3,0,0,0,0,0,0,0,0,0,-2
1,0,52,6,1,0,0,0,0,0,0,4,0,2
1,1,62,1,1,0,0,0,1,0,0,1,1,2
1,0,75,6,0,1,0,0,0,0,0,5,1,2
1,0,49,4,1,0,0,0,1,1,1,5,0,1
1,0,28,2,0,1,0,0,0,0,3,5,0,-2
1,0,56,2,0,1,1,0,1,0,0,5,0,-1
1,0,60,2,1,0,0,0,1,0,0,5,0,2
1,0,50,3,1,0,0,0,0,0,0,5,0,0
1,0,50,3,0,1,0,0,0,0,0,3,0,1
1,0,27,2,0,1,1,0,0,0,1,4,0,0
1,0,54,5,0,1,1,0,0,0,0,5,0,-1
1,0,54,1,0,1,1,0,0,0,0,2,0,-2
1,0,68,1,1,0,0,0,1,0,1,0,1,-2
1,0,30,3,0,1,1,0,1,0,2,2,0,1
1,0,52,1,0,1,1,0,1,0,0,2,0,-2
1,0,77,6,1,0,0,0,1,0,0,5,0,-2
1,0,23,5,1,0,0,0,0,1,0,4,0,-1
1,0,66,2,1,0,0,0,0,0,0,4,1,1
1,0,22,3,1,0,0,0,0,0,0,1,0,-1
1,1,42,3,0,0,0,0,0,0,0,0,0,2
1,0,21,3,1,0,0,0,0,1,1,4,0,1
1,0,57,3,0,0,0,0,1,0,0,0,0,0
1,0,54,4,0,0,1,0,1,0,0,4,0,-1
1,0,18,1,1,0,0,0,1,0,0,1,0,1
1,0,38,5,0,1,1,0,0,1,1,3,0,2
1,0,23,5,0,0,0,0,0,0,0,1,0,-2
1,0,27,5,0,1,1,0,1,0,0,1,1,-2
1,0,61,1,0,1,0,0,0,0,0,1,0,-1
1,1,58,6,0,1,1,0,0,0,0,4,1,2
1,0,61,4,0,0,0,0,1,0,0,5,0,-1
1,0,60,5,1,0,0,0,1,1,0,4,0,2
1,1,69,5,1,0,0,0,1,0,0,4,0,1
1,0,57,2,1,0,0,0,0,0,0,5,1,1
1,0,84,5,0,0,1,0,1,0,0,5,1,-1
1,0,56,1,1,0,0,0,1,1,0,4,0,-1
1,0,60,3,0,0,0,0,0,0,0,1,1,-1
1,0,64,3,0,0,0,0,1,0,0,4,0,0
1,1,56,5,0,0,0,0,1,0,0,0,0,-1
1,1,68,6,1,0,0,0,1,0,0,2,0,0
1,0,28,3,0,0,0,0,1,0,2,3,0,1
1,0,67,5,1,0,0,0,0,0,0,1,0,-1
1,0,27,3,1,0,0,0,0,1,0,2,0,0
1,0,67,3,0,0,0,0,1,0,0,0,0,1
1,0,27,4,1,0,0,0,1,1,1,1,0,0
1,0,29,5,0,0,1,0,0,0,0,4,0,2
1,0,61,6,0,0,0,0,0,0,0,5,0,2
1,0,39,2,0,1,1,0,0,0,0,4,1,-2
1,0,41,2,0,0,0,0,0,0,4,5,0,-1
1,0,25,6,0,0,0,0,1,1,0,4,0,0
1,0,65,4,0,0,0,0,0,0,0,4,1,-1
1,0,29,6,0,0,1,0,0,0,1,4,0,0
1,0,26,2,0,1,1,0,1,0,0,5,0,-1
1,1,72,5,0,1,0,0,0,0,0,1,0,-1
1,0,29,2,0,0,0,0,0,0,2,1,0,-1
1,1,65,5,0,1,0,0,1,0,0,4,0,2
1,0,43,6,1,0,0,0,0,0,0,5,1,2
1,1,55,3,1,0,0,0,0,0,0,3,0,1
1,0,61,2,0,0,1,0,1,0,0,4,0,-1
1,0,60,4,1,0,0,0,1,0,0,0,1,0
1,0,67,2,0,0,0,0,0,0,0,2,0,-1
1,1,49,5,1,0,0,0,1,0,0,1,0,0
1,0,53,3,0,0,0,0,1,0,0,5,0,0
1,0,38,4,0,1,1,0,0,0,0,0,0,-1
1,1,34,4,0,1,1,0,0,0,3,4,0,-1
1,1,53,6,1,0,0,0,0,0,1,4,0,2
1,1,45,5,0,0,0,0,1,0,1,3,0,2
1,0,62,3,0,0,0,0,1,0,0,5,0,-2
1,1,62,6,0,1,0,0,1,0,0,3,0,1
1,0,72,5,1,0,0,0,1,0,0,0,0,2
1,1,82,2,1,0,0,0,1,0,0,2,0,-1
1,1,79,6,0,1,0,0,1,0,0,4,0,1
1,0,68,2,0,1,0,0,0,0,0,4,0,0
1,0,61,6,1,0,0,0,1,0,1,5,0,1
1,0,50,1,0,1,0,0,0,1,0,0,0,-1
1,0,64,3,0,0,0,0,1,0,0,1,0,0
1,0,32,2,0,0,1,0,0,1,1,3,0,-1
1,0,44,5,1,0,0,0,0,1,2,4,0,2
1,0,41,6,0,1,1,0,0,1,0,4,1,1
1,0,27,3,0,0,1,0,0,1,3,1,0,-2
1,0,54,3,0,0,0,0,0,0,0,2,0,-2
1,0,48,2,1,0,0,0,1,0,0,4,0,1
1,1,65,6,0,1,0,0,0,0,0,0,0,1
1,0,28,2,0,0,0,0,0,0,3,1,0,-1
1,1,43,5,0,1,1,0,0,0,1,2,0,1
1,0,60,2,0,0,0,0,0,0,0,5,0,-2
1,1,72,6,0,1,0,0,0,0,0,0,0,2
1,0,59,4,0,0,0,0,0,0,0,4,0,2
1,0,64,5,1,0,0,0,1,0,0,1,1,0
1,0,42,3,1,0,0,0,0,0,2,5,0,-1
1,0,38,3,0,0,0,0,0,0,0,0,0,1
1,0,46,6,1,0,0,1,1,0,0,2,0,2
1,0,41,3,0,0,0,0,0,0,0,1,0,-2
1,0,50,2,1,0,0,0,1,0,2,5,1,1
1,0,65,5,0,1,1,0,1,0,0,5,0,1
1,0,33,6,1,0,0,0,0,0,1,4,1,1
1,1,50,5,1,0,0,0,0,0,0,5,0,0
1,0,45,3,0,0,1,0,0,0,0,4,0,-1
1,0,66,5,0,1,0,0,0,0,0,3,0,2
1,0,19,3,0,1,1,0,0,0,0,1,0,2
1,0,22,3,0,1,1,0,0,0,0,3,0,-1
1,0,55,1,1,0,0,0,1,0,0,0,1,-1
1,1,58,5,0,0,0,0,0,0,0,4,0,2
1,1,27,5,1,0,0,0,0,1,1,5,0,1
1,1,30,6,0,1,1,0,0,0,0,2,0,1
1,0,63,6,0,0,0,0,0,0,1,0,1,0
1,1,67,4,0,0,0,0,0,0,0,1,0,1
1,0,42,2,1,0,0,0,1,1,2,1,0,2
1,0,39,2,0,0,0,0,1,0,3,1,0,-1
1,0,58,2,0,1,0,0,1,0,0,1,0,0
1,0,53,5,0,1,1,0,0,0,0,3,1,2
1,0,43,3,0,0,0,0,0,0,0,3,1,-2
1,0,45,5,1,0,0,0,0,0,1,4,0,-1
1,0,63,2,1,0,0,0,0,0,0,5,0,-1
1,0,55,3,0,0,0,0,1,0,0,1,1,2
1,0,40,5,0,1,1,0,0,0,2,5,0,0
1,0,53,5,0,0,0,0,0,0,0,0,0,2
1,0,25,4,0,0,0,0,0,1,0,4,0,1
1,0,70,1,0,0,0,0,0,0,0,1,0,1
1,0,62,5,1,0,0,0,0,0,0,0,0,-1
1,0,26,6,0,0,1,0,0,0,0,2,0,-2
1,0,33,5,0,1,1,0,0,0,3,1,1,2
1,0,63,2,0,1,0,0,0,0,1,0,1,1
1,0,28,3,0,0,0,0,0,0,1,1,0,1
1,0,54,3,0,1,1,0,0,0,0,4,0,0
1,1,56,4,0,0,0,0,1,0,0,2,0,1
1,0,39,5,1,0,0,0,0,0,2,2,0,-1
1,0,61,5,0,0,0,0,0,0,0,2,0,2
1,0,59,2,1,0,0,0,0,0,0,5,0,1
1,1,73,5,0,1,0,0,0,0,0,4,0,1
1,0,74,3,0,0,0,0,0,0,0,4,0,-2
1,1,29,5,1,0,0,0,0,0,0,5,0,2
1,0,23,4,0,1,0,0,1,1,0,2,1,-2
1,0,34,3,0,0,0,0,0,0,0,1,0,-2
1,0,69,3,1,0,0,0,0,0,0,5,0,-1
1,1,43,5,1,0,0,0,1,1,1,1,0,1
1,0,53,5,0,0,0,0,1,0,0,0,0,2
1,0,53,1,0,1,0,0,0,0,0,3,0,-1
1,0,32,3,1,0,0,0,0,0,1,0,0,-1
1,1,81,6,1,0,0,0,1,0,0,1,0,2
1,1,62,6,1,0,0,0,1,0,0,4,0,2
1,0,65,4,0,0,0,0,0,0,0,3,1,-1
1,0,45,6,0,0,0,0,1,1,0,5,0,2
1,0,49,2,0,1,0,0,1,0,1,1,1,2
1,0,20,2,0,0,0,0,0,0,0,3,0,-1
1,1,67,6,0,1,0,0,1,0,0,4,1,2
1,0,59,5,0,0,1,0,0,0,0,2,0,1
1,1,51,5,0,1,0,0,1,0,0,2,0,2
1,0,34,5,0,0,0,0,0,0,3,1,0,0
1,0,70,5,0,1,0,0,1,0,0,0,1,-1
1,1,58,6,1,0,0,0,0,0,0,4,0,0
1,0,63,2,1,0,0,0,0,0,0,5,0,1
1,0,25,3,1,0,0,0,0,0,1,1,0,-2
1,0,53,3,1,0,0,0,1,0,0,3,1,1
1,0,79,2,0,1,0,0,0,0,0,5,0,-2
1,0,49,4,0,1,1,0,0,0,0,5,0,-1
1,0,57,2,1,0,0,0,0,0,0,1,0,0
1,0,43,2,1,0,0,0,1,0,1,5,0,1
1,1,35,6,0,1,1,0,0,0,2,2,0,0
1,0,29,5,1,0,0,0,0,0,0,4,0,1
1,0,27,3,0,0,1,0,0,0,2,1,0,-1
1,0,59,4,0,0,0,0,0,0,0,0,1,1
1,0,29,5,1,0,0,0,1,0,1,4,0,1
1,1,28,5,0,0,0,0,1,0,0,2,0,0
1,0,45,4,1,0,0,0,1,0,1,4,0,-2
1,0,60,2,1,0,0,0,1,0,0,5,0,2
1,0,49,2,0,1,1,0,0,0,0,2,0,-1
1,0,53,3,0,1,0,0,1,0,1,2,0,0
1,0,69,3,0,0,0,0,0,0,0,5,0,-1
1,0,75,2,1,0,0,0,0,1,0,5,0,1
1,1,51,1,0,0,0,0,0,0,0,2,1,0
1,0,59,5,1,0,0,0,1,0,0,3,0,2
1,0,25,3,1,0,0,0,0,0,1,1,0,-1
1,0,74,4,1,0,0,0,1,0,0,1,0,0
1,0,62,6,1,0,0,0,0,0,0,4,0,0
1,0,75,2,0,0,0,0,0,0,0,4,0,-1
1,0,57,5,1,0,0,0,0,0,0,5,0,2
1,0,29,5,1,0,0,0,0,0,1,4,0,2
1,0,34,5,0,1,0,0,1,0,0,2,0,-1
1,0,49,3,0,0,0,0,0,0,0,0,0,1
1,0,55,4,0,0,0,0,0,0,0,0,0,-2
1,0,62,6,0,1,0,0,1,0,0,4,0,2
1,0,56,6,1,0,0,0,1,0,0,4,0,0
1,0,66,2,0,1,0,0,0,0,0,4,0,1
1,1,79,6,0,0,0,0,0,0,0,4,0,-1
1,0,66,2,0,1,0,0,0,0,0,1,0,-1
1,1,41,3,0,1,1,0,0,0,1,0,0,0
1,0,34,3,0,1,1,0,1,0,1,5,1,1
1,0,20,3,0,1,1,0,1,0,0,5,0,-2
1,0,70,1,0,0,0,0,0,0,0,1,0,1
1,0,71,6,0,0,0,0,1,0,0,0,0,2
1,0,70,2,1,0,0,0,0,0,0,1,0,-1
1,0,52,4,0,1,0,1,1,0,0,0,0,-1
1,0,32,5,0,1,1,0,0,0,2,4,0,-2
1,0,60,2,0,0,0,0,0,0,0,4,1,1
1,1,54,3,0,1,1,0,0,1,0,4,0,2
1,0,37,3,0,1,0,1,1,0,2,4,1,1
1,0,51,3,0,1,1,0,0,0,0,4,0,-2
1,0,55,1,0,1,1,0,1,0,2,5,0,-1
1,0,29,5,0,1,1,0,0,0,1,3,0,0
1,0,29,3,0,0,0,0,1,0,1,5,0,1
1,0,33,5,1,0,0,0,0,0,2,5,0,-1
1,0,66,3,1,0,0,0,1,0,0,1,1,1
1,0,52,3,0,0,0,0,1,0,2,0,0,1
1,0,48,4,0,0,0,0,0,1,0,4,0,-1
1,0,42,2,0,0,1,0,0,0,4,4,0,-2
1,0,33,2,0,0,0,1,1,0,0,0,0,1
1,1,61,3,0,0,1,0,0,0,0,5,1,0
1,0,56,3,0,1,1,0,1,0,1,2,0,-1
1,0,60,3,1,0,0,0,0,0,0,3,1,2
1,1,48,6,0,1,1,0,1,0,2,4,0,2
1,0,62,3,0,0,0,0,0,0,0,1,0,-2
1,0,47,3,0,0,0,0,1,0,0,2,1,1
1,1,62,3,0,0,0,0,1,0,0,3,1,1
1,0,83,3,1,0,0,0,1,0,0,4,1,-1
1,0,56,6,0,1,1,0,0,0,0,5,0,-1
1,0,34,5,1,0,0,0,1,0,2,5,1,2
1,0,65,3,1,0,0,0,0,0,0,1,0,2
1,0,49,5,1,0,0,0,1,0,0,5,0,2
1,0,49,2,0,0,0,0,1,0,0,1,0,0
1,0,40,3,0,0,0,0,1,0,3,4,0,0
1,1,61,3,1,0,0,0,0,0,0,1,1,-1
1,0,42,2,0,0,0,0,0,0,0,1,0,1
1,0,76,2,0,0,0,0,0,0,0,4,0,-1
1,0,59,2,0,0,0,0,1,0,0,1,0,-2
1,1,63,3,1,0,0,0,0,0,0,5,0,2
1,0,69,2,0,0,0,0,1,0,0,5,0,-1
1,1,36,3,0,1,1,0,1,0,2,3,0,1
1,0,31,2,0,1,0,0,1,0,0,1,1,-2
1,0,59,3,0,0,0,0,0,0,0,1,1,1
1,1,61,6,1,0,0,0,1,0,0,5,0,2
1,0,73,6,1,0,0,0,0,0,0,1,0,1
1,0,69,6,0,0,0,0,1,0,0,4,0,2
1,1,71,2,1,0,0,0,0,0,0,5,0,-1
1,1,41,3,0,1,1,0,0,0,1,1,0,0
1,0,59,5,0,0,0,0,0,0,0,5,0,-2
1,0,34,6,1,0,0,0,0,0,2,5,1,1
1,0,38,3,0,1,1,0,0,1,2,2,0,0
1,0,55,6,1,0,0,0,1,0,0,0,0,1
1,0,56,5,0,1,0,0,1,0,0,1,0,2
1,1,72,3,0,1,0,0,0,0,0,1,0,2
1,0,49,6,1,0,0,0,0,0,0,4,0,0
1,0,58,4,0,1,1,0,1,0,0,4,1,1
1,0,53,3,0,0,0,0,1,0,0,1,0,-2
1,1,60,3,0,0,0,0,0,0,0,1,0,-2
1,1,73,6,1,0,0,0,1,0,0,5,0,1
1,0,68,2,1,0,0,0,0,0,0,5,0,-2
1,0,25,4,1,0,0,0,0,0,0,4,0,1
1,1,59,4,0,1,0,0,0,0,4,5,1,-2
1,0,32,6,0,0,0,0,1,0,2,1,0,2
1,0,37,2,0,0,0,0,1,0,1,0,0,-1
1,0,27,3,0,1,0,0,0,0,0,2,0,-2
1,0,36,2,0,0,0,0,0,0,3,0,0,-2
1,0,29,3,0,0,1,0,1,0,0,2,0,-1
1,1,58,5,0,1,0,0,0,0,0,3,1,2
1,0,49,2,0,1,0,0,0,0,0,1,0,0
1,0,27,4,0,1,0,1,0,0,2,0,0,-2
1,0,49,3,0,1,1,0,0,0,2,4,0,0
1,0,68,2,1,0,0,0,0,0,0,5,0,-1
1,0,40,4,1,0,0,0,1,0,1,5,0,-1
1,0,36,3,0,0,0,0,1,0,0,0,0,0
1,0,28,1,1,0,0,0,0,1,3,0,0,0
1,0,65,2,0,0,0,0,0,0,0,1,0,-1
1,0,60,3,0,1,0,0,1,0,0,0,0,-1
1,0,21,2,0,1,1,0,0,0,0,1,0,-2
1,1,40,5,0,0,0,0,1,0,2,5,0,2
1,0,60,4,1,0,0,0,0,0,0,4,0,1
1,0,66,2,0,0,0,0,0,0,0,1,0,-1
1,0,26,3,1,0,0,0,0,1,3,1,0,1
